+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|                  adc_clk |                  adc_clk |                                                              system_i/PID/PID_0/inst/integral_sf_reg[6]/D|
|                  adc_clk |                  adc_clk |                                  system_i/SignalGenerator/outputCalibration_b/inst/output_sf_reg/PCIN[15]|
|                  adc_clk |                  adc_clk |                                  system_i/SignalGenerator/outputCalibration_b/inst/output_sf_reg/PCIN[13]|
|                  adc_clk |                  adc_clk |                                  system_i/SignalGenerator/outputCalibration_b/inst/output_sf_reg/PCIN[14]|
|                  adc_clk |                  adc_clk |                                   system_i/SignalGenerator/outputCalibration_b/inst/output_sf_reg/PCIN[7]|
|                  adc_clk |                  adc_clk |                                   system_i/SignalGenerator/outputCalibration_b/inst/output_sf_reg/PCIN[8]|
|                  adc_clk |                  adc_clk |                                  system_i/SignalGenerator/outputCalibration_b/inst/output_sf_reg/PCIN[46]|
|                  adc_clk |                  adc_clk |                                  system_i/SignalGenerator/outputCalibration_b/inst/output_sf_reg/PCIN[25]|
|                  adc_clk |                  adc_clk |                                  system_i/SignalGenerator/outputCalibration_b/inst/output_sf_reg/PCIN[26]|
|                  adc_clk |                  adc_clk |                                   system_i/SignalGenerator/outputCalibration_b/inst/output_sf_reg/PCIN[5]|
|                  adc_clk |                  adc_clk |                                  system_i/SignalGenerator/outputCalibration_b/inst/output_sf_reg/PCIN[45]|
|                  adc_clk |                  adc_clk |                                  system_i/SignalGenerator/outputCalibration_b/inst/output_sf_reg/PCIN[22]|
|                  adc_clk |                  adc_clk |                                  system_i/SignalGenerator/outputCalibration_b/inst/output_sf_reg/PCIN[23]|
|                  adc_clk |                  adc_clk |                                  system_i/SignalGenerator/outputCalibration_b/inst/output_sf_reg/PCIN[24]|
|                  adc_clk |                  adc_clk |                                   system_i/SignalGenerator/outputCalibration_b/inst/output_sf_reg/PCIN[1]|
|                  adc_clk |                  adc_clk |                                   system_i/SignalGenerator/outputCalibration_b/inst/output_sf_reg/PCIN[2]|
|                  adc_clk |                  adc_clk |                                  system_i/SignalGenerator/outputCalibration_b/inst/output_sf_reg/PCIN[40]|
|                  adc_clk |                  adc_clk |                                  system_i/SignalGenerator/outputCalibration_b/inst/output_sf_reg/PCIN[41]|
|                  adc_clk |                  adc_clk |                                  system_i/SignalGenerator/outputCalibration_b/inst/output_sf_reg/PCIN[19]|
|                  adc_clk |                  adc_clk |                                  system_i/SignalGenerator/outputCalibration_b/inst/output_sf_reg/PCIN[20]|
|                  adc_clk |                  adc_clk |                                  system_i/SignalGenerator/outputCalibration_b/inst/output_sf_reg/PCIN[21]|
|                  adc_clk |                  adc_clk |                                   system_i/SignalGenerator/outputCalibration_b/inst/output_sf_reg/PCIN[0]|
|                  adc_clk |                  adc_clk |                                  system_i/SignalGenerator/outputCalibration_b/inst/output_sf_reg/PCIN[16]|
|                  adc_clk |                  adc_clk |                                  system_i/SignalGenerator/outputCalibration_b/inst/output_sf_reg/PCIN[17]|
|                  adc_clk |                  adc_clk |                                  system_i/SignalGenerator/outputCalibration_b/inst/output_sf_reg/PCIN[18]|
|                  adc_clk |                  adc_clk |                                  system_i/SignalGenerator/outputCalibration_b/inst/output_sf_reg/PCIN[35]|
|                  adc_clk |                  adc_clk |                                  system_i/SignalGenerator/outputCalibration_b/inst/output_sf_reg/PCIN[36]|
|                  adc_clk |                  adc_clk |                                  system_i/SignalGenerator/outputCalibration_b/inst/output_sf_reg/PCIN[31]|
|                  adc_clk |                  adc_clk |                                  system_i/SignalGenerator/outputCalibration_b/inst/output_sf_reg/PCIN[12]|
|                  adc_clk |                  adc_clk |                                  system_i/SignalGenerator/outputCalibration_b/inst/output_sf_reg/PCIN[30]|
|                  adc_clk |                  adc_clk |                                   system_i/SignalGenerator/outputCalibration_b/inst/output_sf_reg/PCIN[3]|
